SZAVAZOKOR,MEGYEKOD,MEGYE,TELEPULES_SORSZAM,TELEPULES,URL
01_002_070,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_071,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_072,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_073,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_074,01,Budapest,002,1021 Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_111,01,Budapest,002,1024 Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_003_001,01,Budapest,003,1036 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_002,01,Budapest,003,1034 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_003,01,Budapest,003,Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_004,01,Budapest,003,1034 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_005,01,Budapest,003,1032 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_006,01,Budapest,003,1034 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_007,01,Budapest,003,1034 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_008,01,Budapest,003,1034 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_009,01,Budapest,003,1034 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_010,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_011,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_012,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_013,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_014,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_015,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_016,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_017,01,Budapest,003,1036 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_018,01,Budapest,003,1036 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_019,01,Budapest,003,1036 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_020,01,Budapest,003,1032 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_021,01,Budapest,003,1032 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_022,01,Budapest,003,1032 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_023,01,Budapest,003,1032 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_024,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_025,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_026,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_027,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_028,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_029,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_030,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_031,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_032,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_033,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_034,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_035,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_036,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_037,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_038,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_039,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_040,01,Budapest,003,1035 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_041,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_042,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_043,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_044,01,Budapest,003,1033 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_045,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_046,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_047,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_048,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_049,01,Budapest,003,1037 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_050,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_051,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_052,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_053,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_054,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_055,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_056,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_057,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
01_003_058,01,Budapest,003,1031 Budapest 03,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/003/szavazohelyisegek/003?tab=szavazokor-adatai
