SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,SZEKHELY,SZH_KER,TELEPULES_SORSZAM,TELEPULES,OEVK26VF,OEVK14,OEVK26_options,OEVK26_isect,METSZET,OEVK26_or_type,OEVK26_or,OEVK26,MI,OEVK26_largest,ATJELENTKEZOK,INDULO,HONOS,ATJELENTKEZO_IDE,ATJELENTKEZO_INNEN,OSSZESEN,URL,TERULET
01_002_073,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_01|01_04,4705|104554,,,01_04,0|1,01_04,N,922,855,0,72,855,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-073?tab=data,109259
01_002_074,01,BUDAPEST,01_03,Budapest,12,002,Budapest II. kerület,01_04,01_03,01_04,01_03|01_04,2393|6283024,,,01_04,0|1,01_04,N,828,784,0,38,784,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-074?tab=data,6285417
01_003_001,01,BUDAPEST,01_04,Budapest,02,003,Budapest III. kerület,01_04,01_04,01_04|01_11,01_04,119950,,,01_04,1,01_04,N,930,877,0,50,877,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-003-001?tab=data,119950
01_003_002,01,BUDAPEST,01_04,Budapest,02,003,Budapest III. kerület,01_04,01_04,01_04|01_11,01_04|01_11,184156|3434,,,01_04,1|0,01_04,N,854,790,0,55,790,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-003-002?tab=data,187591
01_003_003,01,BUDAPEST,01_04,Budapest,02,003,Budapest III. kerület,01_11,01_04,01_04|01_11,01_04|01_11,57|161517,,,01_11,0|1,01_11,N,1003,940,0,59,940,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-003-003?tab=data,161574
01_003_004,01,BUDAPEST,01_04,Budapest,02,003,Budapest III. kerület,01_04,01_04,01_04|01_11,01_04|01_11,118391|331,,,01_04,1|0,01_04,N,1004,941,0,53,941,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-003-004?tab=data,118721
01_003_005,01,BUDAPEST,01_04,Budapest,02,003,Budapest III. kerület,01_04,01_04,01_04|01_11,,,soft,01_04,01_04,,,,,,,,,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-003-005?tab=data,
01_003_006,01,BUDAPEST,01_04,Budapest,02,003,Budapest III. kerület,01_04,01_04,01_04|01_11,01_04,98907,,,01_04,1,01_04,N,997,937,0,53,937,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-003-006?tab=data,98907
01_003_007,01,BUDAPEST,01_04,Budapest,02,003,Budapest III. kerület,01_11,01_04,01_04|01_11,01_11,58270,,,01_11,1,01_11,N,939,893,0,46,893,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-003-007?tab=data,58270
01_003_008,01,BUDAPEST,01_04,Budapest,02,003,Budapest III. kerület,01_04,01_04,01_04|01_11,01_04|01_11,59957|49175,,,01_04,1|0,01_04,N,844,793,0,39,793,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-003-008?tab=data,109132
