megye,település,sorszám,evk,számlKijelölt,átjKijelölt,átjel,átjelInnen,honos,induló,összesen
01,009,014,01,N,N,0,88,811,905,811
01,009,015,01,N,N,0,50,620,666,620
01,009,016,01,N,N,0,39,629,668,629
01,009,017,01,N,N,0,110,935,1049,935
01,009,018,01,N,N,0,43,672,714,672
01,009,019,06,N,N,0,62,931,989,931
01,009,020,06,N,N,0,54,954,1027,954
01,009,021,06,N,N,0,62,785,846,785
01,009,022,06,N,N,0,78,780,851,780
01,009,023,06,N,N,0,18,724,758,724
01,009,024,06,N,N,0,49,570,617,570
01,009,025,06,N,N,0,39,857,904,857
01,009,026,06,N,N,0,50,667,728,667
01,009,027,06,N,N,0,38,666,717,666
01,009,028,01,N,N,0,46,648,701,648
01,009,029,01,N,N,0,75,1005,1094,1005
01,009,030,01,N,N,0,68,894,965,894
01,009,031,06,N,N,0,66,828,894,828
01,009,032,06,N,N,0,41,660,700,660
01,009,033,06,N,N,0,45,805,848,805
01,009,034,06,N,N,0,36,1005,1045,1005
01,009,035,06,N,N,0,48,715,755,715
01,009,036,06,N,N,0,124,1076,1146,1076
01,009,037,06,N,N,0,31,675,715,675
01,009,038,06,N,N,0,19,782,795,782
01,009,039,06,N,N,0,24,813,847,813
01,009,040,06,N,N,0,19,587,614,587
01,009,041,06,N,N,0,23,621,631,621
01,009,042,06,N,N,0,28,620,648,620
01,009,043,06,N,N,0,22,593,622,593
01,009,044,06,N,N,0,25,609,640,609
01,009,045,06,N,N,0,42,769,814,769
01,009,046,06,N,N,0,28,668,702,668
01,009,047,06,N,N,0,37,627,675,627
01,009,048,06,N,N,0,43,645,697,645
01,009,049,06,N,N,0,30,774,804,774
01,009,050,06,N,N,0,28,742,779,742
01,009,051,06,N,N,0,32,753,788,753
01,009,052,06,N,N,0,29,730,772,730
01,009,053,06,N,N,0,27,675,700,675
01,009,054,06,N,I,4343,0,0,0,4343
01,010,001,09,N,N,0,18,578,607,578
01,010,002,09,N,N,0,23,693,727,693
01,010,003,09,N,N,0,18,624,647,624
01,010,004,09,N,N,0,34,631,665,631
01,010,005,09,N,N,0,23,576,607,576
01,010,006,09,N,N,0,15,613,639,613
01,010,007,09,N,N,0,41,700,750,700
01,010,008,09,N,N,0,42,674,724,674
01,010,009,09,N,N,0,61,700,751,700
01,010,010,09,N,N,0,12,604,618,604
01,010,011,09,N,N,0,33,653,697,653
01,010,012,09,N,N,0,20,634,654,634
01,010,013,09,N,N,0,34,659,708,659
01,010,014,09,N,N,0,20,641,662,641
01,010,015,09,N,N,0,22,714,737,714
01,010,016,09,N,N,0,38,660,700,660
01,010,017,09,N,N,0,25,661,679,661
01,010,018,09,N,N,0,11,681,693,681
01,010,019,09,I,N,0,18,649,675,649
01,010,020,09,N,N,0,30,857,885,857
01,010,021,09,N,N,0,33,878,933,878
01,010,022,09,N,N,0,20,729,755,729
01,010,023,09,N,N,0,34,657,695,657
01,010,024,09,N,N,0,32,767,797,767
01,010,025,09,N,N,0,17,516,535,516
01,010,026,09,N,N,0,19,563,592,563
01,010,027,09,N,N,0,24,744,775,744
01,010,028,09,N,N,0,33,688,728,688
01,010,029,09,N,N,0,29,749,771,749
01,010,030,09,N,N,0,12,609,627,609
01,010,031,09,N,N,0,38,821,863,821
01,010,032,09,N,N,0,29,870,901,870
01,010,033,09,N,N,0,22,632,661,632
01,010,034,09,N,N,0,22,599,629,599
01,010,035,09,N,N,0,27,1054,1085,1054
01,010,036,09,N,N,0,27,758,791,758
01,010,037,09,N,N,0,21,738,760,738
01,010,038,09,N,N,0,28,728,757,728
01,010,039,09,N,N,0,10,574,593,574
01,010,040,09,N,N,0,14,577,594,577
01,010,041,09,N,N,0,18,584,604,584
01,010,042,09,N,N,0,18,590,611,590
01,010,043,09,N,N,0,19,573,598,573
01,010,044,09,N,N,0,14,587,603,587
01,010,045,09,N,N,0,22,570,606,570
01,010,046,09,N,N,0,23,607,630,607
01,010,047,09,N,N,0,18,630,658,630
01,010,048,09,N,N,0,13,587,605,587
01,010,049,09,N,N,0,15,652,653,652
01,010,050,09,N,N,0,18,754,784,754
01,010,051,09,N,N,0,17,596,618,596
01,010,052,09,N,N,0,12,623,637,623
01,010,053,09,N,N,0,23,583,614,583
01,010,054,09,N,N,0,20,617,641,617
01,010,055,09,N,N,0,27,673,699,673
01,010,056,09,N,N,0,19,775,788,775
01,010,057,09,N,N,0,13,758,789,758
01,010,058,09,N,N,0,19,613,629,613
01,010,059,09,N,N,0,17,636,657,636
01,010,060,09,N,N,0,24,664,690,664
01,010,061,09,N,N,0,19,727,757,727
01,010,062,09,N,N,0,24,629,650,629
01,010,063,09,N,N,0,22,749,779,749
01,010,064,09,N,N,0,19,705,725,705
01,010,065,09,N,N,0,19,701,727,701
01,010,066,09,N,N,0,19,765,793,765
01,010,067,09,N,N,0,12,690,707,690
01,010,068,09,N,N,0,19,616,639,616
01,010,069,09,N,N,0,24,635,658,635
01,010,070,14,N,N,0,24,870,893,870
01,010,071,14,N,N,0,23,840,872,840
01,010,072,14,N,N,0,12,869,889,869
01,010,073,14,N,N,0,19,857,885,857
01,010,074,14,N,N,0,17,757,779,757
01,010,075,14,N,N,0,33,632,657,632
01,010,076,14,N,N,0,15,646,666,646
01,010,077,09,N,I,2939,0,0,0,2939
01,011,001,02,N,N,0,56,686,741,686
01,011,002,02,N,N,0,56,770,839,770
01,011,003,02,N,N,0,43,704,743,704
01,011,004,02,N,N,0,63,750,816,750
01,011,005,02,N,N,0,52,754,809,754
01,011,006,02,N,N,0,75,801,876,801
01,011,007,02,N,N,0,75,731,810,731
01,011,008,02,N,N,0,44,669,716,669
01,011,009,02,N,N,0,55,693,749,693
01,011,010,02,N,N,0,74,988,1078,988
01,011,011,02,N,N,0,67,926,997,926
01,011,012,02,N,N,0,58,790,845,790
01,011,013,02,N,N,0,51,727,786,727
01,011,014,02,N,N,0,62,912,968,912
01,011,015,02,N,N,0,35,691,726,691
01,011,016,02,N,N,0,48,730,783,730
01,011,017,02,N,N,0,44,714,748,714
01,011,018,02,N,N,0,39,834,879,834
01,011,019,02,N,N,0,46,681,736,681
01,011,020,02,N,N,0,54,770,827,770
01,011,021,02,N,N,0,63,750,818,750
01,011,022,02,N,N,0,42,655,690,655
01,011,023,02,N,N,0,56,786,849,786
01,011,024,02,N,N,0,49,760,819,760
01,011,025,02,N,N,0,48,761,821,761
01,011,026,02,N,N,0,52,873,929,873
01,011,027,02,N,N,0,58,777,837,777
01,011,028,02,N,N,0,60,981,1044,981
01,011,029,02,N,N,0,56,757,812,757
01,011,030,02,N,N,0,46,730,766,730
01,011,031,02,N,N,0,57,953,1020,953
01,011,032,02,N,N,0,82,1028,1115,1028
01,011,033,02,N,N,0,54,894,954,894
01,011,034,02,N,N,0,47,839,891,839
01,011,035,02,N,N,0,47,785,835,785
01,011,036,02,N,N,0,40,721,766,721
01,011,037,02,N,N,0,44,864,912,864
01,011,038,02,N,N,0,43,805,863,805
01,011,039,02,N,N,0,32,727,767,727
01,011,040,02,N,N,0,61,910,974,910
01,011,041,02,N,N,0,41,933,977,933
01,011,042,02,N,N,0,48,865,921,865
01,011,043,02,N,N,0,57,769,838,769
01,011,044,02,N,N,0,48,921,977,921
01,011,045,02,N,N,0,52,1103,1162,1103
01,011,046,02,N,N,0,55,901,953,901
01,011,047,02,N,N,0,54,1069,1128,1069
01,011,048,02,N,N,0,43,770,821,770
01,011,049,02,N,N,0,27,831,862,831
01,011,050,02,N,N,0,29,699,733,699
01,011,051,02,N,N,0,25,762,791,762
01,011,052,02,N,N,0,22,741,762,741
01,011,053,02,N,N,0,37,820,860,820
01,011,054,02,N,N,0,34,783,821,783
01,011,055,02,N,N,0,22,717,748,717
