TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,01_002_020,FIDESZ-KDNP,228
Listas,2014EP,01_002_020,EGYÜTT-PM,89
Listas,2014EP,01_002_020,DEMOKRATIKUS KOALÍCIÓ,67
Listas,2014EP,01_002_020,MSZP,45
Listas,2014EP,01_002_020,LMP,43
Listas,2014EP,01_002_020,JOBBIK,15
Listas,2014EP,01_002_020,SMS,3
Listas,2014EP,01_002_020,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_021,FIDESZ-KDNP,154
Listas,2014EP,01_002_021,EGYÜTT-PM,62
Listas,2014EP,01_002_021,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01_002_021,LMP,27
Listas,2014EP,01_002_021,MSZP,22
Listas,2014EP,01_002_021,JOBBIK,20
Listas,2014EP,01_002_021,A HAZA NEM ELADÓ,2
Listas,2014EP,01_002_021,SMS,0
Listas,2014EP,01_002_022,FIDESZ-KDNP,240
Listas,2014EP,01_002_022,EGYÜTT-PM,101
Listas,2014EP,01_002_022,DEMOKRATIKUS KOALÍCIÓ,51
Listas,2014EP,01_002_022,LMP,41
Listas,2014EP,01_002_022,JOBBIK,36
Listas,2014EP,01_002_022,MSZP,27
Listas,2014EP,01_002_022,SMS,1
Listas,2014EP,01_002_022,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_023,FIDESZ-KDNP,200
Listas,2014EP,01_002_023,EGYÜTT-PM,126
Listas,2014EP,01_002_023,DEMOKRATIKUS KOALÍCIÓ,64
Listas,2014EP,01_002_023,MSZP,60
Listas,2014EP,01_002_023,LMP,48
Listas,2014EP,01_002_023,JOBBIK,18
Listas,2014EP,01_002_023,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_023,SMS,0
Listas,2014EP,01_002_024,FIDESZ-KDNP,238
Listas,2014EP,01_002_024,EGYÜTT-PM,100
Listas,2014EP,01_002_024,DEMOKRATIKUS KOALÍCIÓ,62
Listas,2014EP,01_002_024,MSZP,54
Listas,2014EP,01_002_024,LMP,43
Listas,2014EP,01_002_024,JOBBIK,42
Listas,2014EP,01_002_024,A HAZA NEM ELADÓ,3
Listas,2014EP,01_002_024,SMS,0
Listas,2014EP,01_002_025,FIDESZ-KDNP,251
Listas,2014EP,01_002_025,EGYÜTT-PM,61
Listas,2014EP,01_002_025,LMP,41
Listas,2014EP,01_002_025,DEMOKRATIKUS KOALÍCIÓ,40
Listas,2014EP,01_002_025,JOBBIK,30
Listas,2014EP,01_002_025,MSZP,26
Listas,2014EP,01_002_025,A HAZA NEM ELADÓ,1
Listas,2014EP,01_002_025,SMS,0
Listas,2014EP,01_002_026,FIDESZ-KDNP,257
Listas,2014EP,01_002_026,EGYÜTT-PM,100
Listas,2014EP,01_002_026,DEMOKRATIKUS KOALÍCIÓ,57
Listas,2014EP,01_002_026,LMP,44
Listas,2014EP,01_002_026,MSZP,40
Listas,2014EP,01_002_026,JOBBIK,17
Listas,2014EP,01_002_026,SMS,3
Listas,2014EP,01_002_026,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_027,FIDESZ-KDNP,213
Listas,2014EP,01_002_027,EGYÜTT-PM,73
Listas,2014EP,01_002_027,DEMOKRATIKUS KOALÍCIÓ,43
Listas,2014EP,01_002_027,MSZP,34
Listas,2014EP,01_002_027,LMP,31
Listas,2014EP,01_002_027,JOBBIK,14
Listas,2014EP,01_002_027,SMS,1
Listas,2014EP,01_002_027,A HAZA NEM ELADÓ,0
Listas,2014EP,01_002_028,FIDESZ-KDNP,212
Listas,2014EP,01_002_028,EGYÜTT-PM,60
Listas,2014EP,01_002_028,DEMOKRATIKUS KOALÍCIÓ,38
Listas,2014EP,01_002_028,JOBBIK,32
Listas,2014EP,01_002_028,MSZP,31
Listas,2014EP,01_002_028,LMP,29
Listas,2014EP,01_002_028,A HAZA NEM ELADÓ,4
Listas,2014EP,01_002_028,SMS,2
Listas,2014EP,01_002_029,FIDESZ-KDNP,188
Listas,2014EP,01_002_029,EGYÜTT-PM,73
Listas,2014EP,01_002_029,DEMOKRATIKUS KOALÍCIÓ,47
Listas,2014EP,01_002_029,LMP,23
Listas,2014EP,01_002_029,MSZP,19
Listas,2014EP,01_002_029,JOBBIK,13
Listas,2014EP,01_002_029,A HAZA NEM ELADÓ,3
Listas,2014EP,01_002_029,SMS,2
Listas,2014EP,01_002_030,FIDESZ-KDNP,123
Listas,2014EP,01_002_030,EGYÜTT-PM,76
Listas,2014EP,01_002_030,MSZP,38
Listas,2014EP,01_002_030,DEMOKRATIKUS KOALÍCIÓ,37
Listas,2014EP,01_002_030,LMP,24
