Megyekod,Telepuleskod,Szavkor,OEVK ID,Metszet terulet
01,012,047,0101,"1,974,538"
01,012,047,0103,"5,962,794"
01,012,047,0106,"40,409"
01,012,048,0103,"39,247"
01,012,049,0103,"419,065"
01,012,049,0104,"12,544"
01,012,050,0103,"1,306,404"
01,012,050,0104,302
01,012,051,0103,"442,298"
01,012,051,0104,256
01,012,052,0103,"866,128"
01,012,053,0103,"4,522,891"
01,012,054,0103,"3,036,362"
01,012,054,0104,"194,415"
01,012,055,0103,"166,726"
01,013,001,0105,"74,074"
01,013,002,0105,"66,993"
01,013,003,0105,"75,710"
01,013,004,0105,"51,522"
01,013,005,0105,"44,509"
01,013,006,0105,"55,588"
01,013,007,0105,"54,736"
01,013,008,0105,"47,132"
01,013,009,0105,"55,129"
01,013,010,0105,"68,566"
01,013,011,0105,"45,427"
01,013,012,0105,"43,920"
01,013,013,0105,"75,124"
01,013,014,0105,"41,364"
01,013,015,0105,"62,864"
01,013,016,0105,"64,241"
01,013,017,0105,"135,756"
01,013,018,0105,"88,496"
01,013,019,0105,"167,294"
01,013,020,0105,"57,556"
01,013,021,0105,"162,438"
01,013,022,0105,"121,142"
01,013,023,0105,"91,710"
01,013,024,0105,"58,737"
01,013,025,0105,"203,878"
01,013,026,0105,"79,323"
01,013,027,0105,"123,641"
01,013,028,0105,"200,133"
01,013,029,0105,"157,130"
01,013,030,0105,"28,909"
01,013,031,0105,"134,057"
01,013,032,0105,"168,868"
01,013,033,0105,"201,190"
01,013,034,0105,"33,695"
01,013,035,0105,"219,806"
01,013,036,0105,"117,936"
01,013,037,0105,"149,798"
01,013,038,0105,"34,877"
01,013,039,0105,"181,663"
01,013,040,0105,"135,504"
01,013,041,0105,"106,530"
01,013,042,0105,"158,321"
01,013,043,0105,"633,498"
01,013,044,0105,"88,570"
01,013,045,0105,"223,824"
01,013,045,0106,0
01,013,046,0105,"130,485"
01,013,046,0106,"3,330"
01,013,047,0105,"117,013"
01,013,047,0106,"2,903"
01,013,048,0105,36
01,013,048,0112,"158,892"
01,013,049,0105,"273,966"
01,013,049,0112,"92,137"
01,013,050,0105,"118,665"
01,013,051,0105,"105,684"
01,013,052,0105,"348,312"
01,013,053,0105,"238,635"
01,013,054,0105,"103,186"
01,013,055,0105,"97,091"
01,013,056,0105,"184,471"
01,013,057,0105,"640,482"
01,013,058,0105,911
01,013,058,0112,"173,818"
01,013,059,0105,"79,039"
01,013,059,0112,"103,224"
01,013,060,0105,"31,600"
01,013,061,0105,"69,297"
01,013,062,0105,"76,706"
01,013,063,0105,"279,418"
01,013,063,0112,"59,471"
01,013,064,0112,"113,821"
01,013,065,0112,"200,107"
01,013,066,0112,"89,955"
01,013,067,0112,"76,910"
01,013,068,0112,"199,582"
01,013,069,0112,"58,812"
01,013,070,0105,"3,962"
01,013,070,0112,"439,441"
01,013,071,0105,"631,717"
01,013,071,0112,"2,443"
01,013,072,0105,969
01,013,072,0112,"101,437"
01,013,073,0105,677
01,013,073,0112,"209,583"
01,013,074,0112,"177,418"
01,013,075,0112,"158,146"
01,013,076,0106,"10,513"
01,013,076,0112,"238,577"
01,013,077,0112,"765,737"
01,013,078,0112,"58,350"
01,013,079,0112,"313,849"
01,013,080,0112,"93,031"
01,013,081,0112,"124,699"
01,013,082,0112,"352,466"
01,013,083,0112,"179,046"
01,013,084,0105,"1,784"
01,013,084,0112,"613,612"
01,013,085,0105,"3,427"
01,013,085,0112,"430,489"
01,013,086,0112,"56,316"
01,013,087,0112,"866,836"
01,013,088,0105,"9,101,667"
01,013,088,0106,"27,822"
